month,temperature,maxtemp,mintemp,sunhours,rainfall,maxrain
1,1.2046428571428573,3.8148214285714284,-1.6398214285714285,43.153703703703705,61.58571428571428,14.133928571428571
2,2.3755357142857143,5.961607142857143,-1.1048214285714286,72.07592592592593,56.324999999999996,13.950000000000001
3,6.044642857142857,10.946785714285713,1.3794642857142858,135.63518518518518,48.544642857142854,12.835714285714285
4,10.013818181818182,15.472000000000001,4.3127272727272725,175.95,56.683928571428574,15.87857142857143
5,14.103035714285713,19.6040350877193,8.227543859649122,210.42962962962963,84.6875,22.803571428571427
6,17.731052631578947,23.306140350877193,11.70859649122807,226.6962962962963,84.90714285714286,23.1125
7,19.579649122807016,25.46157894736842,13.390175438596492,245.34528301886792,77.37321428571428,20.864285714285717
8,18.87298245614035,24.835789473684212,13.135789473684211,225.66792452830188,79.53090909090909,22.37272727272727
9,15.295964912280702,21.247719298245613,10.072631578947368,177.2,59.39818181818182,18.076363636363638
10,10.142105263157895,15.026666666666666,5.925263157894737,110.73018867924527,62.074999999999996,17.710714285714285
11,5.528771929824561,8.708771929824561,2.38140350877193,48.038888888888884,70.3,18.43859649122807
12,2.3521052631578945,4.881052631578947,-0.44280701754385965,35.977777777777774,70.73214285714286,15.769642857142857
